Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2012,Kogu Eesti,64.0,Kivisüsi,tuhat tonni,84.77,eurot/t,5425.28
2012,Harju maakond,5.0,Kivisüsi,tuhat tonni,84.77,eurot/t,423.85
2012,..Tallinn,4.0,Kivisüsi,tuhat tonni,84.77,eurot/t,339.08
2012,Hiiu maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Ida-Viru maakond,2.0,Kivisüsi,tuhat tonni,84.77,eurot/t,169.54
2012,Jõgeva maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Järva maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Lääne maakond,1.0,Kivisüsi,tuhat tonni,84.77,eurot/t,84.77
2012,Lääne-Viru maakond,52.0,Kivisüsi,tuhat tonni,84.77,eurot/t,4408.04
2012,Põlva maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Pärnu maakond,1.0,Kivisüsi,tuhat tonni,84.77,eurot/t,84.77
2012,Rapla maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Saare maakond,1.0,Kivisüsi,tuhat tonni,84.77,eurot/t,84.77
2012,Tartu maakond,1.0,Kivisüsi,tuhat tonni,84.77,eurot/t,84.77
2012,..Tartu linn,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Valga maakond,1.0,Kivisüsi,tuhat tonni,84.77,eurot/t,84.77
2012,Viljandi maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2012,Võru maakond,0.0,Kivisüsi,tuhat tonni,84.77,eurot/t,0.0
2013,Kogu Eesti,61.0,Kivisüsi,tuhat tonni,87.86,eurot/t,5359.46
2013,Harju maakond,5.0,Kivisüsi,tuhat tonni,87.86,eurot/t,439.3
2013,..Tallinn,4.0,Kivisüsi,tuhat tonni,87.86,eurot/t,351.44
2013,Hiiu maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2013,Ida-Viru maakond,8.0,Kivisüsi,tuhat tonni,87.86,eurot/t,702.88
2013,Jõgeva maakond,1.0,Kivisüsi,tuhat tonni,87.86,eurot/t,87.86
2013,Järva maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2013,Lääne maakond,1.0,Kivisüsi,tuhat tonni,87.86,eurot/t,87.86
2013,Lääne-Viru maakond,40.0,Kivisüsi,tuhat tonni,87.86,eurot/t,3514.4
2013,Põlva maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2013,Pärnu maakond,1.0,Kivisüsi,tuhat tonni,87.86,eurot/t,87.86
2013,Rapla maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2013,Saare maakond,1.0,Kivisüsi,tuhat tonni,87.86,eurot/t,87.86
2013,Tartu maakond,3.0,Kivisüsi,tuhat tonni,87.86,eurot/t,263.58
2013,..Tartu linn,3.0,Kivisüsi,tuhat tonni,87.86,eurot/t,263.58
2013,Valga maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2013,Viljandi maakond,1.0,Kivisüsi,tuhat tonni,87.86,eurot/t,87.86
2013,Võru maakond,0.0,Kivisüsi,tuhat tonni,87.86,eurot/t,0.0
2014,Kogu Eesti,77.0,Kivisüsi,tuhat tonni,64.69,eurot/t,4981.13
2014,Harju maakond,5.0,Kivisüsi,tuhat tonni,64.69,eurot/t,323.45
2014,..Tallinn,4.0,Kivisüsi,tuhat tonni,64.69,eurot/t,258.76
2014,Hiiu maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Ida-Viru maakond,4.0,Kivisüsi,tuhat tonni,64.69,eurot/t,258.76
2014,Jõgeva maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Järva maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Lääne maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Lääne-Viru maakond,64.0,Kivisüsi,tuhat tonni,64.69,eurot/t,4140.16
2014,Põlva maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Pärnu maakond,1.0,Kivisüsi,tuhat tonni,64.69,eurot/t,64.69
2014,Rapla maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Saare maakond,1.0,Kivisüsi,tuhat tonni,64.69,eurot/t,64.69
2014,Tartu maakond,1.0,Kivisüsi,tuhat tonni,64.69,eurot/t,64.69
2014,..Tartu linn,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Valga maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2014,Viljandi maakond,1.0,Kivisüsi,tuhat tonni,64.69,eurot/t,64.69
2014,Võru maakond,0.0,Kivisüsi,tuhat tonni,64.69,eurot/t,0.0
2015,Kogu Eesti,29.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,Harju maakond,3.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,..Tallinn,2.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,Hiiu maakond,0.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,Ida-Viru maakond,1.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,Jõgeva maakond,0.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
2015,Järva maakond,0.0,Kivisüsi,tuhat tonni,0.0,eurot/t,0.0
