"Kütuse/energia liik","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Kivisüsi, eurot/t",88.02,84.77,87.86,64.69,.,.,78.14,84.13,75.83,83.90
"Põlevkivi, eurot/t",11.28,13.04,15.15,15.06,14.52,12.76,12.79,13.01,14.26,14.53
"Tükkturvas, eurot/t",31.00,37.64,40.19,40.27,39.00,40.67,34.01,41.93,40.78,54.23
"Turbabrikett, eurot/t",100.83,101.07,124.66,98.34,.,.,..,..,..,..
"Küttepuud, eurot/tm",24.17,25.57,23.81,26.74,25.10,24.72,26.12,37.76,41.96,38.25
"Puiduhake, eurot/m³",12.97,15.84,12.42,11.58,11.23,12.17,11.23,11.31,13.47,12.34
"Puidujäätmed, eurot/m³",9.72,14.98,9.04,11.39,8.17,10.67,7.24,11.95,9.25,11.42
"Maagaas, eurot/tuhat m³",312.78,369.70,370.40,373.15,335.10,261.65,289.77,325.45,328.09,262.42
"Raske kütteõli, eurot/t",471.96,565.44,490.96,453.92,437.00,340.38,400.87,467.62,477.19,358.51
"Põlevkiviõli (raske fraktsioon), eurot/t",407.33,484.64,458.79,439.44,283.01,286.82,336.38,381.70,381.20,326.49
"Kerge kütteõli, eurot/t",651.64,693.93,726.17,686.97,550.49,487.41,601.28,586.91,572.97,425.02
"Diislikütus, eurot/t",1160.01,1137.25,1139.04,1039.09,865.86,957.19,1032.75,1051.39,1074.62,950.52
"Autobensiin, eurot/t",1326.71,1363.00,1331.60,1290.04,1187.81,1142.90,1253.78,1278.40,1295.21,1318.35
"Elektrienergia, eurot/MWh",72.53,77.36,87.18,83.18,82.02,79.00,76.51,76.69,77.12,75.83
"Soojus, eurot/MWh",44.45,52.69,55.61,60.12,56.19,53.75,57.12,65.01,64.26,57.72
