"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2011","Tegevusalad kokku",68.8,0.0,18738.8,286.1,17.6,12.4,4348.1,1708.3,2639.8,1858.9,781.1,56.3,632.1,9.3,1.8,64.8,645.5,572.3,260.5,33.8,1108.3,7.6,142.9,..,39.1,3.5,8382,8168
"2011","Põllumajandus",0.0,0.0,0.0,0.0,0.3,0.0,7.0,5.1,1.9,1.9,0.1,0.1,11.7,0.4,0.0,2.1,68.2,64.7,2.5,0.0,0.0,0.0,1.0,..,0.0,0.4,184,98
"2011","Metsamajandus",0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.5,0.1,0.0,0.1,0.0,1.5,0.0,0.0,0.0,16.9,16.8,1.9,0.0,0.0,0.0,0.0,..,0.0,0.2,10,13
"2011","Kalapüük",0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,2.8,2.8,0.3,0.0,0.0,0.0,0.0,..,0.0,0.0,9,1
"2011","Põlevkivi kaevandamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,19.4,19.4,0.1,0.0,0.0,0.0,0.0,..,0.0,0.8,227,42
"2011","Turba tootmine ja muu kaevandamine",0.0,0.0,0.0,135.4,7.1,0.0,19.2,0.3,18.9,0.0,18.9,0.7,6.0,0.0,0.0,0.0,11.3,10.2,0.5,0.0,0.0,0.0,0.0,..,0.6,0.1,32,42
"2011","Toiduainete tootmine, joogitootmine",0.2,0.0,0.0,0.0,3.3,0.0,2.0,0.5,1.5,0.4,1.1,0.0,25.0,0.1,0.1,7.3,9.1,3.9,1.5,0.0,0.0,0.0,0.0,..,0.0,0.0,271,373
"2011","Tekstiili- ja rõivatootmine, nahatöötlemine ja nahktoodete tootmine",0.5,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.1,2.8,0.0,0.0,1.0,1.2,0.8,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,132,64
"2011","Puidutöötlemine",0.0,0.0,0.0,1.7,0.0,0.0,378.7,4.3,374.4,157.7,216.8,0.9,7.3,0.1,0.0,0.0,13.0,9.9,1.6,0.0,0.0,0.0,0.0,..,0.0,0.2,291,584
"2011","Paberi ja pabertoodete tootmine, trükindus ja salvestiste paljundus",0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.3,83.2,52.0,31.1,0.0,34.5,0.1,0.1,0.0,1.4,0.8,0.6,0.0,0.0,0.0,137.3,..,0.0,0.0,337,402
